year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,order,question_raw,question_theme,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type
2022,All Responses,All Schools,bullied,have ever been bullied or picked on,No,6585,11150,59.1%,57.6%,60.5%,1.4%,1.4%,63.2,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,0,Lengthy
2022,All Responses,All Schools,bullied,have ever been bullied or picked on,No,6585,11150,59.1%,57.6%,60.5%,1.4%,1.4%,59,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,1,NA
2022,All Responses,All Schools,bullied,have ever been bullied or picked on,Yes,4565,11150,40.9%,39.5%,42.4%,1.4%,1.4%,63.2,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,TRUE,Bullying,Bullied/picked on,RAG - Low is good,0,Lengthy
2022,All Responses,All Schools,bullied,have ever been bullied or picked on,Yes,4565,11150,40.9%,39.5%,42.4%,1.4%,1.4%,59,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,TRUE,Bullying,Bullied/picked on,RAG - Low is good,1,NA
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,No,3395,4545,74.7%,72.7%,76.6%,2.0%,1.9%,64,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,0,Simple
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,No,3395,4545,74.7%,72.7%,76.6%,2.0%,1.9%,60,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,1,NA
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Prefer not to say,555,4545,12.2%,10.8%,13.8%,1.4%,1.6%,64,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,0,Simple
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Prefer not to say,555,4545,12.2%,10.8%,13.8%,1.4%,1.6%,60,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,1,NA
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Yes,595,4545,13.1%,11.6%,14.7%,1.5%,1.6%,64,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,TRUE,Currently being bullied,Currently being bullied,NA,0,Simple
2022,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Yes,595,4545,13.1%,11.6%,14.7%,1.5%,1.6%,60,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,TRUE,Currently being bullied,Currently being bullied,NA,1,NA
