year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,order,question_raw,question_theme,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type
2023,All Responses,All Schools,bullied,have ever been bullied or picked on,No,9815,16295,60.2%,59.0%,61.4%,1.2%,1.2%,63.2,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,0,Lengthy
2023,All Responses,All Schools,bullied,have ever been bullied or picked on,No,9815,16295,60.2%,59.0%,61.4%,1.2%,1.2%,59,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,1,NA
2023,All Responses,All Schools,bullied,have ever been bullied or picked on,Yes,6480,16295,39.8%,38.6%,41.0%,1.2%,1.2%,63.2,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,TRUE,Bullying,Bullied/picked on,RAG - Low is good,0,Lengthy
2023,All Responses,All Schools,bullied,have ever been bullied or picked on,Yes,6480,16295,39.8%,38.6%,41.0%,1.2%,1.2%,59,Q15140168.2,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Have you ever been bullied or picked on?,Has been bullied or picked on,FALSE,TRUE,bullied,Please describe your experiences with bullying.,TRUE,Bullying,Bullied/picked on,RAG - Low is good,1,NA
2023,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,No,4810,6515,73.8%,72.1%,75.5%,1.7%,1.6%,64,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,0,Simple
2023,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,No,4810,6515,73.8%,72.1%,75.5%,1.7%,1.6%,60,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,1,NA
2023,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Prefer not to say,785,6515,12.0%,10.9%,13.4%,1.2%,1.3%,64,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,0,Simple
2023,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Prefer not to say,785,6515,12.0%,10.9%,13.4%,1.2%,1.3%,60,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,FALSE,Currently being bullied,NA,NA,1,NA
2023,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Yes,920,6515,14.1%,12.8%,15.5%,1.3%,1.4%,64,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,TRUE,Currently being bullied,Currently being bullied,NA,0,Simple
2023,All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Yes,920,6515,14.1%,12.8%,15.5%,1.3%,1.4%,60,Q8978251,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Are you currently being bullied or picked on?,Is being bullied currently,FALSE,FALSE,bullied,Are you currently being bullied or picked on?,TRUE,Currently being bullied,Currently being bullied,NA,1,NA
