"","pcd","lat","long","lsoa11","laua"
"1","AL11AA",51.749084,-0.341337,"E01023743","E07000240"
"2","AL11AB",51.747828,-0.301865,"E01023667","E07000240"
"3","AL11AD",51.747828,-0.301865,"E01023667","E07000240"
"4","AL11AE",51.747828,-0.301865,"E01023667","E07000240"
"5","AL11AF",51.749084,-0.341337,"E01023743","E07000240"
"6","AL11AG",51.74529,-0.328628,"E01023741","E07000240"
"7","AL11AH",51.744888,-0.327556,"E01023741","E07000240"
"8","AL11AJ",51.744498,-0.328599,"E01023741","E07000240"
"9","AL11AL",51.747828,-0.301865,"E01023667","E07000240"
"10","AL11AN",51.744484,-0.329498,"E01023741","E07000240"
"11","AL11AP",51.744484,-0.329498,"E01023741","E07000240"
"12","AL11AQ",51.743571,-0.325418,"E01023741","E07000240"
"13","AL11AR",51.739727,-0.317492,"E01023684","E07000240"
"14","AL11AS",51.749073,-0.335471,"E01023726","E07000240"
"15","AL11AT",51.742011,-0.319421,"E01023682","E07000240"
"16","AL11AU",51.741475,-0.319273,"E01023682","E07000240"
"17","AL11AW",51.74186,-0.322315,"E01023682","E07000240"
"18","AL11AZ",51.735008,-0.317668,"E01023684","E07000240"
"19","AL11BA",51.747828,-0.301865,"E01023667","E07000240"
"20","AL11BB",51.749963,-0.339856,"E01023726","E07000240"
"21","AL11BE",51.748165,-0.339922,"E01023727","E07000240"
"22","AL11BF",51.746368,-0.339988,"E01023740","E07000240"
"23","AL11BH",51.746852,-0.338,"E01023740","E07000240"
"24","AL11BT",51.749767,-0.340646,"E01023743","E07000240"
"25","AL11BU",51.749723,-0.340691,"E01023743","E07000240"
"26","AL11BX",51.749023,-0.341041,"E01023743","E07000240"
"27","AL11BY",51.749861,-0.34157,"E01023743","E07000240"
"28","AL11BZ",51.750392,-0.340319,"E01023743","E07000240"
"29","AL11DA",51.749983,-0.341304,"E01023743","E07000240"
"30","AL11DB",51.747828,-0.301865,"E01023667","E07000240"
"31","AL11DD",51.750304,-0.340452,"E01023743","E07000240"
"32","AL11DE",51.749945,-0.340524,"E01023743","E07000240"
"33","AL11DF",51.744484,-0.329498,"E01023741","E07000240"
"34","AL11DG",51.747809,-0.343534,"E01023743","E07000240"
"35","AL11DH",51.747564,-0.341943,"E01023743","E07000240"
"36","AL11DJ",51.749983,-0.341304,"E01023743","E07000240"
"37","AL11DL",51.749084,-0.341337,"E01023743","E07000240"
"38","AL11DN",51.740832,-0.330052,"E01023741","E07000240"
"39","AL11DQ",51.747408,-0.34234,"E01023743","E07000240"
"40","AL11DR",51.744484,-0.329498,"E01023741","E07000240"
"41","AL11DS",51.732276,-0.318601,"E01023684","E07000240"
"42","AL11DT",51.750047,-0.3401,"E01023727","E07000240"
"43","AL11DU",51.731178,-0.31584,"E01023684","E07000240"
"44","AL11DW",51.749305,-0.341706,"E01023743","E07000240"
"45","AL11DX",51.731715,-0.301875,"E01023684","E07000240"
"46","AL11DY",51.744484,-0.329498,"E01023741","E07000240"
"47","AL11DZ",51.731467,-0.30465,"E01023684","E07000240"
"48","AL11EA",51.731809,-0.306505,"E01023684","E07000240"
"49","AL11EB",51.733302,-0.307811,"E01023684","E07000240"
"50","AL11ED",51.732433,-0.30864,"E01023684","E07000240"
"51","AL11EE",51.732086,-0.308305,"E01023684","E07000240"
"52","AL11EF",51.730733,-0.308616,"E01023684","E07000240"
"53","AL11EG",51.730613,-0.308433,"E01023684","E07000240"
"54","AL11EP",51.749983,-0.341304,"E01023743","E07000240"
"55","AL11EQ",51.731212,-0.309409,"E01023684","E07000240"
"56","AL11ER",51.750389,-0.339479,"E01023727","E07000240"
"57","AL11ES",51.749963,-0.339856,"E01023726","E07000240"
"58","AL11ET",51.750374,-0.339697,"E01023727","E07000240"
"59","AL11EU",51.750251,-0.339904,"E01023727","E07000240"
"60","AL11EX",51.750097,-0.339365,"E01023726","E07000240"
"61","AL11EY",51.750062,-0.33923,"E01023726","E07000240"
"62","AL11EZ",51.749993,-0.340102,"E01023727","E07000240"
"63","AL11FH",51.747828,-0.301865,"E01023667","E07000240"
"64","AL11FP",51.750474,-0.340403,"E01023743","E07000240"
"65","AL11HA",51.749206,-0.340406,"E01023727","E07000240"
"66","AL11HB",51.749009,-0.340665,"E01023727","E07000240"
"67","AL11HD",51.748858,-0.340787,"E01023727","E07000240"
"68","AL11HE",51.748858,-0.340787,"E01023727","E07000240"
"69","AL11HF",51.747042,-0.34189,"E01023740","E07000240"
"70","AL11HG",51.749587,-0.340015,"E01023727","E07000240"
"71","AL11HH",51.744321,-0.336651,"E01023741","E07000240"
"72","AL11HJ",51.746233,-0.336198,"E01023740","E07000240"
"73","AL11HL",51.746893,-0.335368,"E01023740","E07000240"
"74","AL11HN",51.74727,-0.335783,"E01023740","E07000240"
"75","AL11HP",51.747716,-0.341422,"E01023740","E07000240"
"76","AL11HQ",51.745865,-0.342556,"E01023740","E07000240"
"77","AL11HR",51.746058,-0.342274,"E01023740","E07000240"
"78","AL11HS",51.74551,-0.342917,"E01023740","E07000240"
"79","AL11HT",51.734376,-0.318705,"E01023684","E07000240"
"80","AL11HU",51.737312,-0.313382,"E01023683","E07000240"
"81","AL11HW",51.747071,-0.336506,"E01023740","E07000240"
"82","AL11HY",51.737854,-0.31444,"E01023683","E07000240"
"83","AL11JA",51.744465,-0.324608,"E01023682","E07000240"
"84","AL11JB",51.743571,-0.325418,"E01023741","E07000240"
"85","AL11JD",51.745103,-0.327757,"E01023741","E07000240"
"86","AL11JE",51.738257,-0.31536,"E01023684","E07000240"
"87","AL11JF",51.743571,-0.325418,"E01023741","E07000240"
"88","AL11JG",51.743093,-0.326551,"E01023741","E07000240"
"89","AL11JH",51.743503,-0.323146,"E01023682","E07000240"
"90","AL11JJ",51.74448,-0.32227,"E01023682","E07000240"
"91","AL11JL",51.744597,-0.322917,"E01023682","E07000240"
"92","AL11JN",51.744938,-0.324802,"E01023682","E07000240"
"93","AL11JP",51.746063,-0.323573,"E01023682","E07000240"
