,order,question_raw,question_theme,question_coded,response,question_text,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type,year
1,0,Q17109919,Education,DFE.Number,NA,DFE,DFE,DFE,NA,FALSE,FALSE,dfe,DFE.number,FALSE,DFE,NA,NA,0,Simple,2024
2,0,Q11582112,Education,school,NA,School,-,What school or college do you go to?,NA,FALSE,FALSE,school,What school or college do you go to?,FALSE,School,NA,NA,0,Simple,2024
3,1,Q8978198,Demographics,age,10,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
4,1,Q8978198,Demographics,age,11,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
5,1,Q8978198,Demographics,age,12,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
6,1,Q8978198,Demographics,age,13,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
7,1,Q8978198,Demographics,age,14,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
8,1,Q8978198,Demographics,age,15,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
9,1,Q8978198,Demographics,age,16,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
10,1,Q8978198,Demographics,age,17,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
11,1,Q8978198,Demographics,age,18,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
12,1,Q8978198,Demographics,age,20,Age,-,How old are you?,NA,FALSE,FALSE,age,How old are you?,FALSE,Age,NA,NA,0,Simple,2024
13,2,Q17167689,Demographics,sex,Female,Gender identity,-,How do you identify yourself?,NA,FALSE,FALSE,sex,How do you identify yourself?,TRUE,Gender identity,Female,NA,0,Simple,2024
14,2,Q17167689,Demographics,sex,Male,Gender identity,-,How do you identify yourself?,NA,FALSE,FALSE,sex,How do you identify yourself?,TRUE,Gender identity,Male,NA,0,Simple,2024
15,2,Q17167689,Demographics,sex,Prefer not to say,Gender identity,-,How do you identify yourself?,NA,FALSE,FALSE,sex,How do you identify yourself?,FALSE,Gender identity,NA,NA,0,Simple,2024
16,2,Q17167689,Demographics,sex,Other,Gender identity,-,How do you identify yourself?,NA,FALSE,FALSE,sex,How do you identify yourself?,TRUE,Gender identity,Other gender,NA,0,Simple,2024
17,2,Q17167689,Demographics,sex,Transgender,Gender identity,-,How do you identify yourself?,NA,FALSE,FALSE,sex,How do you identify yourself?,TRUE,Gender identity,Transgender,NA,0,Simple,2024
18,2,Q17167689,Demographics,sex,Non-Binary,Gender identity,-,How do you identify yourself?,NA,FALSE,FALSE,sex,How do you identify yourself?,TRUE,Gender identity,Non-binary,NA,0,Simple,2024
19,3,Q8978200,Demographics,sexuality,Bisexual,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,TRUE,Sexual orientation,Bisexual,NA,0,Simple,2024
20,3,Q8978200,Demographics,sexuality,Homosexual/Lesbian,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,TRUE,Sexual orientation,Homosexual/Lesbian,NA,0,Simple,2024
21,3,Q8978200,Demographics,sexuality,Homosexual/Gay Male,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,TRUE,Sexual orientation,Homosexual/Gay Male,NA,0,Simple,2024
22,3,Q8978200,Demographics,sexuality,Heterosexual/Straight,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,TRUE,Sexual orientation,Heterosexual/Straight,NA,0,Simple,2024
23,3,Q8978200,Demographics,sexuality,Prefer not to say,sexual orientation,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,NA,FALSE,FALSE,sexuality,Which of the following options best describes your sexual orientation?,FALSE,Sexual orientation,NA,NA,0,Simple,2024
