question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Other:,,school_other_hidden,school_other_hidden,,,
Q10160220,Living Conditions,condition_physical,physical condition,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s). ,Do you have a long-term physical condition?,Physical condition
Q10160220.2,Living Conditions,condition_mental,diagnosed mental health condition,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s). ,Do you have a diagnosed mental health condition?,Diagnosed mental health condition
Q10160220.3,Living Conditions,condition_disability,physical disability,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have a <b>%s</b> was %s %s students (%s). ,Do you have a physical disability?,Physical disability
Q10160220.4,Living Conditions,condition_send,special education need(s) or learning difficulty,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they have <b>%s</b> was %s %s students (%s). ,Do you have any special education need(s) or learning difficulties?,Special education need(s) or learning difficulty
Q10765296,Diet and Lifestyle,portions,portions of fruits or vegetables,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked how many <b>%s</b> they ate yesterday was %s %s students (%s). ,How many portions of fruits or vegetables did you eat yesterday?,
Q10861459,Education,clubs_schoolclub,a club/group at school,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending a club/group at school?,club/group at school
Q10861459.10,Education,clubs_other,other group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of <b>%s</b>, was %s %s students (%s). ","Are you a part of or attending any other projects, groups, or clubs?",other groups
Q10861459.11,Education,clubs_other_specify,other group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending,other groups
Q10861459.2,Education,clubs_perform,a drama/performing arts/dance group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of a <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending drama/performing arts/dance groups?,drama/performing arts/dance group
Q10861459.3,Education,clubs_doe,Duke of Edinburgh,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of <b>%s</b>, was %s %s students (%s). ",Are you a part of Duke of Edinburgh?,Duke of Edinburgh
Q10861459.4,Education,clubs_music,a music club/group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of a <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending a music club/group?,music club/group
Q10861459.5,Education,clubs_religion,a religious group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of a <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending a religious group?,religious group
Q10861459.6,Education,clubs_sports,a sports group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of a <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending a sports group?,sports group
Q10861459.7,Education,clubs_uniformed,uniformed group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of a <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending a uniformed group?,uniformed group
Q10861459.8,Education,clubs_volunteer,volunteering/social action group,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of a <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending a volunteering/social action group?,volunteering/social action group
Q10861459.9,Education,clubs_ycherts,YC Hertfordshire,"The proportion of %s students who chose <b>'%s'</b> (%s) when asked if they were a part of <b>%s</b>, was %s %s students (%s). ",Are you a part of or attending YC Hertfordshire?,YC Hertfordshire
Q11569568,Education,plans_covid,plans have changed since COVID-19,The proportion of %s students who responded <b>'%s'</b> (%s) when asked if their <b>%s</b> was %s %s students (%s). ,Have your plans changed since COVID-19?,
Q11582112,Education,school,School,-,What school or college do you go to?,
Q12295057,Diet and Lifestyle,dentist,check-up at the dentist within the last year ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they had a <b>%s</b> was %s %s students (%s). ,Within the last year have you had a check-up at the dentist?,
Q8978198,Demographics,age,Age,-,How old are you?,
Q8978199,Demographics,sex,Biological sex,-,Please state your sex.,
Q8978200,Demographics,sexuality,sexual orientation,The proportion of %s students who responded with <b>'%s'</b>(%s) when asked about their <b>%s</b> was %s %s (%s).,Which of the following options best describes your sexual orientation?,
Q8978201,Demographics,ethnicity,ethnicity,The proportion of %s students who responded with <b>'%s'</b>(%s) when asked about their <b>%s</b> was %s %s (%s).,What is your ethnic group?,
Q8978202,Demographics,religion,religion,The proportion of %s students who responded with <b>'%s'</b>(%s) when asked about their <b>%s</b> was %s %s (%s).,What is your religion?,
Q8978203,Living Conditions,living_situation,who they live with ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about <b>%s</b> was %s %s students (%s). ,Who do you live with?,
Q8978204,,postcode,Postcode,-,,
Q8978204.1,,postcode1,First part of postcode,,,
Q8978204.2,,postcode2,Second part of postcode,,,
Q8978205,Demographics,schyear,School year,-,Which school year are you in?,
Q8978206,,sch_hidden,school_hidden,-,,
