UserID,UserNo,Name,Email,IP Address,Unique ID,Started,Ended,Tracking Link,Q8978198,Q8978199,Q8978200,Q8978201,Q8978202,Q8978205,Q8978206,,Q10160220,,,,Q8978209,Q8978203,Q8978204,,Q8978207,Q8978210,,,,Q9215126,Q9215135,Q8978211,,,,,,,,,,,Q10765296,Q9562712,Q9864001,Q8978212,,Q9480381,Q8978221,,,Q8978222,Q9512985,Q9456395,Q8978224,,,,,Q9505407,Q8978226,Q9512168,Q8978227,Q8978228,Q8978229,,,,,,Q9442572,Q9065119,,,,,,,,,,,,,,,,Q8978233,,,,,,,,Q9505480,Q9442668,,,,,,,,,,,,,,,,Q9442669,Q9442670,,,,,,Q8978235,,,,,,,,,,,,,Q8978236,,,,,,Q8978240,Q8978238,Q9318333,Q8978234,,,,,,Q8978237,Q8978241,,,,,,,,,,,,,,,,Q8978242,Q8978243,,,,,,,,,,,,,,,,,Q8978244,,,,,,Q8978245,Q8978246,Q8978247,Q8978248,,,,,,,,,,,Q8978249,Q8978250,Q8978251,Q8978252,,,Q8978253,,,,Q8978254,Q8978255,Q8978256,Q8978257,Q8978258,Q8978259,Q8978260,Q8978261,Q8978262,,,,,,,Q8978263,,,,,,Q8978264,,,Q8978265,,Q10861459,,,,,,,,,,Q8978266,,,,,
,,,,,,,,,,,,,,,Answer,Other:,Q10160220.1,Q10160220.2,Q10160220.3,Q10160220.4,,,Q8978204.1,Q8978204.2,,Q8978210.1,Q8978210.2,Q8978210.3,Q8978210.4,Q9215126.1,Q9215135.1,Q8978211.1,Q8978211.2,Q8978211.3,Q8978211.4,Q8978211.5,Q8978211.6,Q8978211.7,Q8978211.8,Q8978211.9,Q8978211.10,Q8978211.11,Q10765296.1,,,Q8978212.1,Q8978212.2,Q9480381.1,Q8978221.1,Q8978221.2,Q8978221.3,,,,Q8978224.1,Q8978224.2,Q8978224.3,Q8978224.4,Q8978224.5,,,,Q8978227.1,,Q8978229.1,Q8978229.2,Q8978229.3,Q8978229.4,Q8978229.5,Q8978229.6,,Q9065119.1,Q9065119.2,Q9065119.3,Q9065119.4,Q9065119.5,Q9065119.6,Q9065119.7,Q9065119.8,Q9065119.9,Q9065119.10,Q9065119.11,Q9065119.12,Q9065119.13,Q9065119.14,Q9065119.15,Q9065119.16,Q8978233.1,Q8978233.2,Q8978233.3,Q8978233.4,Q8978233.5,Q8978233.6,Q8978233.7,Q8978233.8,,Q9442668.1,Q9442668.2,Q9442668.3,Q9442668.4,Q9442668.5,Q9442668.6,Q9442668.7,Q9442668.8,Q9442668.9,Q9442668.10,Q9442668.11,Q9442668.12,Q9442668.13,Q9442668.14,Q9442668.15,Q9442668.16,,Q9442670.1,Q9442670.2,Q9442670.3,Q9442670.4,Q9442670.5,Q9442670.6,Q8978235.1,Q8978235.2,Q8978235.3,Q8978235.4,Q8978235.5,Q8978235.6,Q8978235.7,Q8978235.8,Q8978235.9,Q8978235.10,Q8978235.11,Q8978235.12,Q8978235.13,Q8978236.1,Q8978236.2,Q8978236.3,Q8978236.4,Q8978236.5,Q8978236.6,,,,Q8978234.1,Q8978234.2,Q8978234.3,Q8978234.4,Q8978234.5,Q8978234.6,,Q8978241.1,Q8978241.2,Q8978241.3,Q8978241.4,Q8978241.5,Q8978241.6,Q8978241.7,Q8978241.8,Q8978241.9,Q8978241.10,Q8978241.11,Q8978241.12,Q8978241.13,Q8978241.14,Q8978241.15,Q8978241.16,,Q8978243.1,Q8978243.2,Q8978243.3,Q8978243.4,Q8978243.5,Q8978243.6,Q8978243.7,Q8978243.8,Q8978243.9,Q8978243.10,Q8978243.11,Q8978243.12,Q8978243.13,Q8978243.14,Q8978243.15,Q8978243.16,Q8978243.17,Q8978244.1,Q8978244.2,Q8978244.3,Q8978244.4,Q8978244.5,Q8978244.6,,,,Q8978248.1,Q8978248.2,Q8978248.3,Q8978248.4,Q8978248.5,Q8978248.6,Q8978248.7,Q8978248.8,Q8978248.9,Q8978248.10,Q8978248.11,,,,Q8978252.1,Q8978252.2,Q8978252.3,Q8978253.1,Q8978253.2,Q8978253.3,Q8978253.4,,,,,,,,,Q8978262.1,Q8978262.2,Q8978262.3,Q8978262.4,Q8978262.5,Q8978262.6,Q8978262.7,Q8978263.1,Q8978263.2,Q8978263.3,Q8978263.4,Q8978263.5,Q8978263.6,Q8978264.1,Q8978264.2,Q8978264.3,Q8978265.1,Q8978265.2,Q10861459.1,Q10861459.2,Q10861459.3,Q10861459.4,Q10861459.5,Q10861459.6,Q10861459.7,Q10861459.8,Q10861459.9,Q10861459.10,Q8978266.1,Q8978266.2,Q8978266.3,Q8978266.4,Q8978266.5,Q8978266.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,13,Female,Heterosexual/Straight,White,No religion,Year 7,The Adeyfield Academy,Missing,No,No,No,No,Yes,One parent,,,No,4,Missing,Missing,Missing,5,7,Rarely or never,Once a week or less,2-3 days a week,On most days,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,2-3 days a week,On most days,Missing,1,Overweight,2 or more,3,Missing,3,Yes,No,No,I smoke occasionally (less than 1 cigarette a week),I have never vaped,"Yes, I'd like to stop smoking",No,No,No,Yes,Yes,No,2-4 times a month,I'd like to reduce the amount I drink but not stop,3,Monthly,Yes,No,No,Yes,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Missing,Missing,I have never heard of it,I have heard of it but know nothing about it,It can be treated but not cured,It can be both treated and cured,Pharmacy,Not sure,Missing,Agree,Agree,Disagree,Not sure,Not sure,Agree,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,Neither safe or unsafe,Safe,Neither safe or unsafe,Unsafe,"Yes, I was the victim","Yes, I was the victim",Never,Yes,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Sometimes,No,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,Yes,Maybe
,,,,,,,,,14,Male,"Gay, lesbian or bisexual",Mixed,Buddhist,Year 10,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,No,5,Missing,Missing,Missing,2,3,2-3 days a week,On most days,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,2-3 days a week,On most days,2-3 days a week,Once a week or less,Missing,2,Underweight,0,1,Missing,4,Yes,No,Yes,I have tried smoking once or twice,I have vaped once or twice,Missing,No,No,No,No,No,Missing,4 or more times a week,"No, I want to keep drinking alcohol",5,Weekly,Yes,No,No,Yes,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,"No, I want to keep taking drugs",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Missing,Missing,I have heard of it but know nothing about it,It can be both treated and cured,It can be treated but not cured,I have never heard of it,Doctor,Not sure,Missing,Not sure,Agree,Not sure,Disagree,Disagree,Not sure,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Missing,Missing,Yes,Missing,No,No,Prefer not to say,No,No,No,No,Yes,Yes,No,No,No,No,No,Prefer not to say,Yes,Yes,No,Yes,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, I was the victim",Always,Prefer not to say,Prefer not to say,Once or twice,Most days/Every day,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Not sure,Sometimes,No,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,Yes,Maybe
,,,,,,,,,16,Other,Transgender,Chinese,Muslim,Year 13,The Adeyfield Academy,Missing,No,No,No,No,Missing,Foster parents or in a care home,,,Prefer not to say,9,Missing,Missing,Missing,8,4,2-3 days a week,Rarely or never,Rarely or never,On most days,On most days,Once a week or less,2-3 days a week,2-3 days a week,Once a week or less,2-3 days a week,Missing,3,Don't know/ Prefer not to say,1,6,Missing,5,Yes,No,Yes,I smoke regularly (once a week or more),I vape regularly (once a week or more),I'd like to reduce the amount I smoke but not stop,No,No,No,No,Yes,Yes,2-3 times a week,"Yes, I'd like to stop drinking alcohol",4,Monthly,No,No,No,Yes,Yes,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,I'd like to reduce the amount I take but not stop,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Missing,Missing,It can be treated but not cured,It can be treated but not cured,I have heard of it but know nothing about it,I have never heard of it,School/College,Not sure,Missing,Not sure,Not sure,Agree,Disagree,Not sure,Agree,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Not sure,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Prefer not to say,Not sure,Not sure,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Missing,No,No,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, but I wasn't the victim",Sometimes,Don't know,Once or twice,Once or twice,Most days/Every day,Prefer not to say,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Missing,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Maybe,No,Yes,No,Maybe,Yes
,,,,,,,,,15,Male,Heterosexual/Straight,White,No religion,Year 11,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,Prefer not to say,6,Missing,Missing,Missing,5,6,Rarely or never,On most days,On most days,On most days,Rarely or never,Rarely or never,Rarely or never,Rarely or never,Rarely or never,Once a week or less,Missing,4,Overweight,1,0,Missing,0,Yes,Yes,No,I have never smoked,I have never vaped,Missing,No,No,No,No,No,Missing,Monthly or less,"No, I want to keep drinking alcohol",9,Never,No,No,No,No,Yes,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,I have heard of it but know nothing about it,Sexual health clinic,Yes,Missing,Agree,Agree,Agree,Agree,Agree,Disagree,Not sure,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Prefer not to say,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Unsafe,Neither safe or unsafe,Safe,Safe,No,No,Never,No,Most days/Every day,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Sometimes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
,,,,,,,,,15,Male,Heterosexual/Straight,Black,Christian,Year 11,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,No,3,Missing,Missing,Missing,3,4,Once a week or less,Rarely or never,Rarely or never,On most days,2-3 days a week,Once a week or less,On most days,Once a week or less,Rarely or never,Once a week or less,Missing,5,Overweight,2 or more,4,Missing,4,No,No,No,I have never smoked,I have never vaped,Missing,No,No,No,No,No,Missing,Never,Missing,Missing,Missing,No,No,No,No,No,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Online (e.g. Sexwise website),Yes,Missing,Agree,Agree,Agree,Agree,Agree,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Unsafe,Safe,Unsafe,Safe,No,No,Never,No,No,No,Once or twice,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Sometimes,Sometimes,Sometimes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,No,Yes
,,,,,,,,,16,Other,"Gay, lesbian or bisexual",Black,No religion,Year 11,Missing,Missing,No,Yes,No,No,No,Both parents,,,No,7,Missing,Missing,Missing,5,6,Once a week or less,On most days,On most days,On most days,On most days,Once a week or less,Once a week or less,Once a week or less,Rarely or never,2-3 days a week,Missing,5,Overweight,2 or more,3,Missing,3,No,No,No,I have never smoked,I have vaped once or twice,Missing,No,No,No,No,No,Missing,Monthly or less,"No, I want to keep drinking alcohol",6,Less than monthly,Yes,No,No,No,Yes,No,I have never taken drugs,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Doctor,Not sure,Missing,Disagree,Not sure,Disagree,Agree,Agree,Disagree,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Unsafe,Neither safe or unsafe,Safe,Neither safe or unsafe,No,No,Never,Yes,Once or twice,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Maybe,No,No,Yes
,,,,,,,,,17,Female,"Gay, lesbian or bisexual",Black,Christian,Year 12,Missing,Missing,No,No,No,No,Missing,Both parents,,,No,9,Missing,Missing,Missing,9,10,On most days,On most days,On most days,On most days,2-3 days a week,Once a week or less,Once a week or less,Once a week or less,Once a week or less,On most days,Missing,5,Don't know/ Prefer not to say,2 or more,7,Missing,Missing,No,No,No,Missing,Missing,Missing,No,No,No,No,No,Missing,Never,Missing,Missing,Missing,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,Missing
,,,,,,,,,17,Female,Heterosexual/Straight,Asian,Sikh,Year 9,-,-,Yes,Yes,Yes,Yes,Not sure,Parent and step parent,,,Prefer not to say,5,-,-,-,4,8,-,-,-,On most days,-,On most days,-,2-3 days a week,Rarely or never,-,Once a week or less,3,Don't know/ Prefer not to say,2 or more,2,-,5,Yes,Yes,No,I smoke occasionally (less than 1 cigarette a week),I vape regularly (once a week or more),I'd like to reduce the amount I smoke but not stop,Yes,No,No,Yes,Yes,Yes,2-4 times a month,I'd like to reduce the amount I drink but not stop,8,Daily or almost daily,Yes,Yes,Yes,Yes,Yes,Yes,I take drugs occasionally (less than once a week),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'd like to reduce the amount I take but not stop,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,-,-,I have heard of it but know nothing about it,It can be treated but not cured,It can be both treated and cured,I have never heard of it,Sexual health clinic,No,-,Not sure,Disagree,Disagree,Not sure,Not sure,Agree,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Prefer not to say,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Prefer not to say,-,No,No,No,Unsafe,Unsafe,Unsafe,Unsafe,"Yes, I was the victim","Yes, I was the victim",Usually,Don't know,Once or twice,Once a week,Most days/Every day,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,Not sure,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes
