breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,year
All Responses,All Schools,age,Age,10,65,16300,0.4%,0.3%,0.6%,0.1%,0.2%,2023
All Responses,All Schools,age,Age,11,2315,16300,14.2%,13.4%,15.1%,0.8%,0.9%,2023
All Responses,All Schools,age,Age,12,3365,16300,20.6%,19.7%,21.6%,1.0%,1.0%,2023
All Responses,All Schools,age,Age,13,3140,16300,19.3%,18.3%,20.2%,0.9%,1.0%,2023
All Responses,All Schools,age,Age,14,2580,16300,15.8%,15.0%,16.7%,0.9%,0.9%,2023
All Responses,All Schools,age,Age,15,2090,16300,12.8%,12.0%,13.7%,0.8%,0.8%,2023
All Responses,All Schools,age,Age,16,1505,16300,9.2%,8.6%,10.0%,0.7%,0.7%,2023
All Responses,All Schools,age,Age,17,975,16300,6.0%,5.4%,6.6%,0.5%,0.6%,2023
All Responses,All Schools,age,Age,18,250,16300,1.5%,1.3%,1.9%,0.3%,0.3%,2023
All Responses,All Schools,age,Age,19,10,16300,0.1%,0.0%,0.2%,0.0%,0.1%,2023
All Responses,All Schools,age,Age,20,5,16300,0.0%,0.0%,0.1%,0.0%,0.1%,2023
All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Daily or almost daily,80,3930,2.0%,1.4%,2.9%,0.6%,0.8%,2023
All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Less than monthly,1170,3930,29.8%,27.6%,32.1%,2.2%,2.3%,2023
All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Monthly,545,3930,13.9%,12.3%,15.7%,1.6%,1.8%,2023
All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Never,2005,3930,51.0%,48.6%,53.5%,2.5%,2.5%,2023
All Responses,All Schools,alcohol_6more,how often they have six or more drinks on one occasion,Weekly,130,3930,3.3%,2.5%,4.3%,0.8%,1.0%,2023
All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,2-3 times a week,225,16130,1.4%,1.1%,1.7%,0.3%,0.3%,2023
All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,2-4 times a month,1265,16130,7.8%,7.2%,8.5%,0.6%,0.7%,2023
All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,4 or more times a week,145,16130,0.9%,0.7%,1.2%,0.2%,0.3%,2023
All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,Monthly or less,2210,16130,13.7%,12.9%,14.6%,0.8%,0.9%,2023
All Responses,All Schools,alcohol_ever,how often they had an alcohol-containing drink in the past three months,Never,12285,16130,76.2%,75.1%,77.2%,1.1%,1.0%,2023
All Responses,All Schools,alcohol_reduce,want to reduce or stop drinking,I'd like to reduce the amount I drink but not stop,865,3635,23.8%,21.7%,26.0%,2.1%,2.2%,2023
All Responses,All Schools,alcohol_reduce,want to reduce or stop drinking,"No, I want to keep drinking alcohol",2235,3635,61.5%,59.0%,63.9%,2.5%,2.5%,2023
All Responses,All Schools,alcohol_reduce,want to reduce or stop drinking,"Yes, I'd like to stop drinking alcohol",535,3635,14.7%,13.0%,16.6%,1.7%,1.9%,2023
All Responses,All Schools,amphetamine_offered,amphetamines,No,16165,16295,99.2%,99.0%,99.4%,0.2%,0.2%,2023
All Responses,All Schools,amphetamine_offered,amphetamines,Yes,130,16295,0.8%,0.6%,1.0%,0.2%,0.2%,2023
All Responses,All Schools,amphetamines_exp,amphetamines,No,16230,16290,99.6%,99.5%,99.8%,0.2%,0.1%,2023
All Responses,All Schools,amphetamines_exp,amphetamines,Yes,60,16290,0.4%,0.2%,0.5%,0.1%,0.2%,2023
All Responses,All Schools,bullied,have ever been bullied or picked on,No,9815,16295,60.2%,59.0%,61.4%,1.2%,1.2%,2023
All Responses,All Schools,bullied,have ever been bullied or picked on,Yes,6480,16295,39.8%,38.6%,41.0%,1.2%,1.2%,2023
All Responses,All Schools,bullied_currently,are currently being bullied or picked on,No,4810,6515,73.8%,72.1%,75.5%,1.7%,1.6%,2023
All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Prefer not to say,785,6515,12.0%,10.9%,13.4%,1.2%,1.3%,2023
All Responses,All Schools,bullied_currently,are currently being bullied or picked on,Yes,920,6515,14.1%,12.8%,15.5%,1.3%,1.4%,2023
All Responses,All Schools,bullied_internet,they have been bullied online,No,15145,16290,93.0%,92.3%,93.6%,0.6%,0.6%,2023
All Responses,All Schools,bullied_internet,they have been bullied online,Yes,1145,16290,7.0%,6.4%,7.7%,0.6%,0.6%,2023
All Responses,All Schools,bullied_none,have no experiences with bullying,No,8580,16290,52.7%,51.5%,53.9%,1.2%,1.2%,2023
All Responses,All Schools,bullied_none,have no experiences with bullying,Yes,7710,16290,47.3%,46.1%,48.5%,1.2%,1.2%,2023
All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,No,14945,16295,91.7%,91.0%,92.4%,0.7%,0.6%,2023
All Responses,All Schools,bullied_others,have ever bullied or picked on someone else,Yes,1350,16295,8.3%,7.6%,9.0%,0.6%,0.7%,2023
All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,No,15075,16295,92.5%,91.9%,93.1%,0.7%,0.6%,2023
All Responses,All Schools,bullied_outschool,they have been bullied somewhere other than school,Yes,1220,16295,7.5%,6.9%,8.1%,0.6%,0.7%,2023
All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,No,14910,16295,91.5%,90.8%,92.2%,0.7%,0.7%,2023
All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,Yes,1385,16295,8.5%,7.8%,9.2%,0.7%,0.7%,2023
All Responses,All Schools,bullied_school,they have been bullied at school,No,10370,16295,63.6%,62.5%,64.8%,1.2%,1.2%,2023
All Responses,All Schools,bullied_school,they have been bullied at school,Yes,5925,16295,36.4%,35.2%,37.5%,1.2%,1.2%,2023
All Responses,All Schools,buyalc_friend,from a friend or relative,No,14545,16290,89.3%,88.5%,90.0%,0.8%,0.7%,2023
All Responses,All Schools,buyalc_friend,from a friend or relative,Yes,1745,16290,10.7%,10.0%,11.5%,0.7%,0.8%,2023
All Responses,All Schools,buyalc_home,from home,No,14615,16290,89.7%,89.0%,90.4%,0.8%,0.7%,2023
All Responses,All Schools,buyalc_home,from home,Yes,1675,16290,10.3%,9.6%,11.0%,0.7%,0.8%,2023
All Responses,All Schools,buyalc_internet,from the internet,No,16215,16290,99.5%,99.3%,99.7%,0.2%,0.1%,2023
All Responses,All Schools,buyalc_internet,from the internet,Yes,75,16290,0.5%,0.3%,0.7%,0.1%,0.2%,2023
